[2017-03-28T09:25:14-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-03-28T09:48:23-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-03-28T10:04:47-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2017-03-28T10:08:21-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-03-28T11:26:58-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2017-09-03T10:58:32-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-03T11:00:35-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-03T11:17:32-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-03T11:17:32-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-03T11:19:31-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-03T11:19:31-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-03T11:45:12-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-03T11:45:13-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-03T11:48:13-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-03T11:48:13-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-03T14:37:10-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-03T14:37:11-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-03T20:55:55-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-03T20:55:55-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-03T20:56:32-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-03T20:58:53-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2017-09-03T20:59:04-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-03T21:14:42-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-03T21:15:32-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-03T21:18:30-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2017-09-14T22:09:50-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-14T22:15:07-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
