[2017-03-28T11:31:18-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2017-03-28T11:35:13-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-03-28T14:22:42-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-03-28T14:24:07-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-03-28T14:24:07-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-03-28T17:39:58-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-03-28T17:39:58-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-03-28T17:48:09-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-03-28T17:48:09-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-02T15:11:46-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-02T15:11:46-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-02T16:07:39-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-02T16:07:39-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-02T16:08:16-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-02T16:08:16-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-02T17:04:32-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-02T17:04:32-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-02T17:10:25-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-02T17:10:25-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-02T18:08:19-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-02T18:08:19-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-03T10:56:21-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-03T10:56:21-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-03T10:57:30-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-03T10:57:52-1000] DFHack 0.43.05-beta1-0-g33060c7d on OS X; cwd md5: d9ad48291a; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
